CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5,YEAR,UNIQUE_ID,CRASH_DATE,CRASH_TIME,PERSON_ID,PERSON_TYPE,PERSON_INJURY,VEHICLE_ID,PERSON_AGE,EJECTION,EMOTIONAL_STATUS,BODILY_INJURY,POSITION_IN_VEHICLE,SAFETY_EQUIPMENT,PED_LOCATION,PED_ACTION,COMPLAINT,PED_ROLE,CONTRIBUTING_FACTOR_1,CONTRIBUTING_FACTOR_2,PERSON_SEX
2022-03-28,7:40,UNKNOWN,,40.740467,-73.97295,FDR DRIVE,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,4514773.0,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,2022,12183880,03/28/2022,7:40,abdc26c6-0e59-42b4-ae0c-ad7bfb45b14f,Occupant,Unspecified,20198255.0,39.0,,,,,,,,,Registrant,,,F
2021-09-27,12:38,BROOKLYN,11207.0,40.6874614,-73.9064878,CENTRAL AVENUE,MOFFAT STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4464159.0,Sedan,Sedan,,,,2021,11986477,09/27/2021,12:38,854dc446-c9e5-4d61-9eb3-cbabe9653e97,Occupant,Unspecified,20084242.0,40.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt,,,Does Not Apply,Driver,,,F
2021-09-27,12:38,BROOKLYN,11207.0,40.6874614,-73.9064878,CENTRAL AVENUE,MOFFAT STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4464159.0,Sedan,Sedan,,,,2021,11986478,09/27/2021,12:38,d9124feb-bc11-4df0-b2b8-ba663782f499,Occupant,Unspecified,20084241.0,33.0,,,,,,,,,Registrant,,,F
2021-06-01,16:45,UNKNOWN,,40.7140707,-73.9543399,METROPOLITAN AVENUE,,,2,0,0,0,0,0,2,0,Passing Too Closely,Unspecified,,,,4422733.0,Box Truck,Box Truck,,,,2021,11985831,06/01/2021,16:45,72504e25-225c-479c-ba71-f63408cfed5a,Occupant,Unspecified,20083880.0,,,,,,,,,,Registrant,,,
2022-03-30,23:30,MANHATTAN,10012.0,40.724136,-73.992615,EAST HOUSTON STREET,BOWERY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4516014.0,Sedan,Sedan,,,,2022,12182813,03/30/2022,23:30,7978bc4e-16ed-46f8-9bea-859206501dde,Occupant,Unspecified,20197626.0,18.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt,,,Does Not Apply,Driver,,,M
2022-04-25,23:40,UNKNOWN,,40.81423,-73.93444,HARLEM RIVER DRIVE,,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,4522133.0,Station Wagon/Sport Utility Vehicle,Sedan,,,,2022,12196814,04/25/2022,23:40,795c5855-3c5b-406a-8cfb-90ae61680dcd,Occupant,Unspecified,20205691.0,51.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
2021-10-12,23:15,QUEENS,11434.0,40.6666971,-73.7671284,SOUTH CONDUIT AVENUE,FARMERS BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,4466619.0,Sedan,Sedan,Sedan,Sedan,,2021,11984763,10/12/2021,23:15,8a5ef578-b1b1-4338-9fd7-6223a6631e99,Occupant,Unspecified,20083256.0,28.0,,,,,,,,,Registrant,,,M
2022-04-05,12:56,QUEENS,11385.0,40.703247,-73.90844,SENECA AVENUE,GATES AVENUE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4516553.0,Moped,Bus,,,,2022,12393700,04/05/2022,12:56,80b75bd7-719d-4706-a6a6-b5dd6c85e74b,Occupant,Unspecified,,,,,,,,,,,Notified Person,,,
2022-01-10,16:13,UNKNOWN,,40.832535,-73.85797,CROSS BRONX EXPY,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4493784.0,Sedan,Sedan,,,,2022,12094715,01/10/2022,16:13,0d707a2f-c450-4108-9eea-236fee82854d,Occupant,Unspecified,20146762.0,31.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M
2022-04-06,12:25,BRONX,10459.0,40.820187,-73.890686,HUNTS POINT AVENUE,BRUCKNER BOULEVARD,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4516802.0,Sedan,Station Wagon/Sport Utility Vehicle,,,,2022,12183072,04/06/2022,12:25,936bdc66-4fe1-45c5-b31e-1c2dde95cf1d,Occupant,Unspecified,20197790.0,,,,,,,,,,Registrant,,,
